user_input,retrieved_contexts,response,reference,answer_relevancy,context_precision,faithfulness,context_recall

"For client engmail test, according to the Insurance document, what was the reason for the hospital admission?","[""$400.00\n03-Sep-2026\nPrescription Medication (Pain Management)\n$95.00\nTOTAL\n$3,955.00\nInsurance & Billing Notes\nThis claim has been submitted to the patient's insurance provider under policy reference MVA-972-INS.\nOutstanding balance after insurance adjustment will be billed separately to the patient. For billing\ninquiries, contact the Riverside General Hospital billing department.\nThis document was generated for internal case management and RAG pipeline testing purposes."", 'Riverside General Hospital\nPatient Billing Statement\nPatient Information\nPatient Name: Usama Fiaz\nDate of Birth: 14-March-1994\nCase Reference: MVA - Motor Vehicle Accident (Spanish Mail Test)\nAccident Date: 25-August-2026\nTreatment Facility: Riverside General Hospital, Emergency & Orthopedics Dept.\nSummary of Treatment\nPatient Usama Fiaz was admitted to the Emergency Department following a motor vehicle accident on\n25-August-2026. Initial assessment revealed whiplash injury to the cervical spine and a minor fracture\nof the left wrist. Patient underwent X-ray imaging, a course of physical therapy (6 sessions), and was\nprescribed pain management medication. Follow-up consultation with an orthopedic specialist was', 'prescribed pain management medication. Follow-up consultation with an orthopedic specialist was\nconducted on 02-September-2026, confirming satisfactory healing progress with continued physical\ntherapy recommended for four additional weeks.\nItemized Charges\nDate\nService Description\nAmount (USD)\n25-Aug-2026\nEmergency Room Visit\n$1,850.00\n25-Aug-2026\nX-Ray Imaging (Cervical Spine & Wrist)\n$620.00\n26-Aug-2026\nOrthopedic Consultation\n$450.00\n28-Aug-2026\nPhysical Therapy Session 1\n$180.00\n30-Aug-2026\nPhysical Therapy Session 2\n$180.00\n01-Sep-2026\nPhysical Therapy Session 3\n$180.00\n02-Sep-2026\nFollow-up Orthopedic Consultation\n$400.00\n03-Sep-2026\nPrescription Medication (Pain Management)\n$95.00\nTOTAL\n$3,955.00\nInsurance & Billing Notes']","Maazrat, mujhe aapki query se related koi relevant document nahi mila. Kripya client ka naam, case ID, ya document type confirm karein aur dobara try karein.",Admitted to the Emergency Department following a motor vehicle accident on 25-August-2026,,0.49999999995,0.0,1.0
"In the Insurance document for client engmail test, what injuries did the patient sustain in the accident?","['Riverside General Hospital\nPatient Billing Statement\nPatient Information\nPatient Name: Usama Fiaz\nDate of Birth: 14-March-1994\nCase Reference: MVA - Motor Vehicle Accident (Spanish Mail Test)\nAccident Date: 25-August-2026\nTreatment Facility: Riverside General Hospital, Emergency & Orthopedics Dept.\nSummary of Treatment\nPatient Usama Fiaz was admitted to the Emergency Department following a motor vehicle accident on\n25-August-2026. Initial assessment revealed whiplash injury to the cervical spine and a minor fracture\nof the left wrist. Patient underwent X-ray imaging, a course of physical therapy (6 sessions), and was\nprescribed pain management medication. Follow-up consultation with an orthopedic specialist was']","In the insurance document for client engmail test, the patient, Usama Fiaz, sustained a whiplash injury to the cervical spine and a minor fracture of the left wrist in the accident. 

Source: Usama_Medical_Bill.pdf",Whiplash injury to the cervical spine and a minor fracture of the left wrist,,0.9999999999,0.0,1.0
"According to the Insurance document for client engmail test, what treatments did the patient undergo?","['Riverside General Hospital\nPatient Billing Statement\nPatient Information\nPatient Name: Usama Fiaz\nDate of Birth: 14-March-1994\nCase Reference: MVA - Motor Vehicle Accident (Spanish Mail Test)\nAccident Date: 25-August-2026\nTreatment Facility: Riverside General Hospital, Emergency & Orthopedics Dept.\nSummary of Treatment\nPatient Usama Fiaz was admitted to the Emergency Department following a motor vehicle accident on\n25-August-2026. Initial assessment revealed whiplash injury to the cervical spine and a minor fracture\nof the left wrist. Patient underwent X-ray imaging, a course of physical therapy (6 sessions), and was\nprescribed pain management medication. Follow-up consultation with an orthopedic specialist was', 'prescribed pain management medication. Follow-up consultation with an orthopedic specialist was\nconducted on 02-September-2026, confirming satisfactory healing progress with continued physical\ntherapy recommended for four additional weeks.\nItemized Charges\nDate\nService Description\nAmount (USD)\n25-Aug-2026\nEmergency Room Visit\n$1,850.00\n25-Aug-2026\nX-Ray Imaging (Cervical Spine & Wrist)\n$620.00\n26-Aug-2026\nOrthopedic Consultation\n$450.00\n28-Aug-2026\nPhysical Therapy Session 1\n$180.00\n30-Aug-2026\nPhysical Therapy Session 2\n$180.00\n01-Sep-2026\nPhysical Therapy Session 3\n$180.00\n02-Sep-2026\nFollow-up Orthopedic Consultation\n$400.00\n03-Sep-2026\nPrescription Medication (Pain Management)\n$95.00\nTOTAL\n$3,955.00\nInsurance & Billing Notes']","According to the insurance document for client engmail test, the patient, Usama Fiaz, underwent the following treatments:

1. Emergency Room Visit
2. X-Ray Imaging (Cervical Spine & Wrist)
3. Orthopedic Consultation
4. Physical Therapy (6 sessions)
5. Follow-up Orthopedic Consultation
6. Prescription Medication (Pain Management)

These treatments were related to injuries sustained in a motor vehicle accident on 25-August-2026. 

(Source: Usama_Medical_Bill.pdf)","X-ray imaging, a course of physical therapy (6 sessions), and prescribed pain management medication",,0.99999999995,0.8888888888888888,1.0
"For client engmail test, based on the Insurance document, when was the follow-up consultation with the orthopedic specialist conducted?","['prescribed pain management medication. Follow-up consultation with an orthopedic specialist was\nconducted on 02-September-2026, confirming satisfactory healing progress with continued physical\ntherapy recommended for four additional weeks.\nItemized Charges\nDate\nService Description\nAmount (USD)\n25-Aug-2026\nEmergency Room Visit\n$1,850.00\n25-Aug-2026\nX-Ray Imaging (Cervical Spine & Wrist)\n$620.00\n26-Aug-2026\nOrthopedic Consultation\n$450.00\n28-Aug-2026\nPhysical Therapy Session 1\n$180.00\n30-Aug-2026\nPhysical Therapy Session 2\n$180.00\n01-Sep-2026\nPhysical Therapy Session 3\n$180.00\n02-Sep-2026\nFollow-up Orthopedic Consultation\n$400.00\n03-Sep-2026\nPrescription Medication (Pain Management)\n$95.00\nTOTAL\n$3,955.00\nInsurance & Billing Notes']","For client engmail test, the follow-up consultation with the orthopedic specialist was conducted on 02-September-2026. 

(Source: Usama_Medical_Bill.pdf)",02-September-2026,,0.9999999999,0.5,1.0
"In the Insurance document for client engmail test, what was the outcome of the follow-up consultation?","['prescribed pain management medication. Follow-up consultation with an orthopedic specialist was\nconducted on 02-September-2026, confirming satisfactory healing progress with continued physical\ntherapy recommended for four additional weeks.\nItemized Charges\nDate\nService Description\nAmount (USD)\n25-Aug-2026\nEmergency Room Visit\n$1,850.00\n25-Aug-2026\nX-Ray Imaging (Cervical Spine & Wrist)\n$620.00\n26-Aug-2026\nOrthopedic Consultation\n$450.00\n28-Aug-2026\nPhysical Therapy Session 1\n$180.00\n30-Aug-2026\nPhysical Therapy Session 2\n$180.00\n01-Sep-2026\nPhysical Therapy Session 3\n$180.00\n02-Sep-2026\nFollow-up Orthopedic Consultation\n$400.00\n03-Sep-2026\nPrescription Medication (Pain Management)\n$95.00\nTOTAL\n$3,955.00\nInsurance & Billing Notes']","In the Insurance document for client engmail test, the outcome of the follow-up consultation conducted on 02-September-2026 was that satisfactory healing progress was confirmed, and continued physical therapy was recommended for four additional weeks. 

(Source: Usama_Medical_Bill.pdf)","Confirmed satisfactory healing progress, with continued physical therapy recommended for four additional weeks",,0.9999999999,1.0,1.0
"According to the Insurance document for client engmail test, what is the total amount billed on the statement?","[""$400.00\n03-Sep-2026\nPrescription Medication (Pain Management)\n$95.00\nTOTAL\n$3,955.00\nInsurance & Billing Notes\nThis claim has been submitted to the patient's insurance provider under policy reference MVA-972-INS.\nOutstanding balance after insurance adjustment will be billed separately to the patient. For billing\ninquiries, contact the Riverside General Hospital billing department.\nThis document was generated for internal case management and RAG pipeline testing purposes."", 'prescribed pain management medication. Follow-up consultation with an orthopedic specialist was\nconducted on 02-September-2026, confirming satisfactory healing progress with continued physical\ntherapy recommended for four additional weeks.\nItemized Charges\nDate\nService Description\nAmount (USD)\n25-Aug-2026\nEmergency Room Visit\n$1,850.00\n25-Aug-2026\nX-Ray Imaging (Cervical Spine & Wrist)\n$620.00\n26-Aug-2026\nOrthopedic Consultation\n$450.00\n28-Aug-2026\nPhysical Therapy Session 1\n$180.00\n30-Aug-2026\nPhysical Therapy Session 2\n$180.00\n01-Sep-2026\nPhysical Therapy Session 3\n$180.00\n02-Sep-2026\nFollow-up Orthopedic Consultation\n$400.00\n03-Sep-2026\nPrescription Medication (Pain Management)\n$95.00\nTOTAL\n$3,955.00\nInsurance & Billing Notes']","According to the Insurance document for client engmail test, the total amount billed on the statement is $3,955.00. 

(Source: Usama_Medical_Bill.pdf)","$3,955.00",,0.99999999995,0.5,1.0
"In the Insurance document for client engmail test, how much was charged for the Emergency Room Visit?","['prescribed pain management medication. Follow-up consultation with an orthopedic specialist was\nconducted on 02-September-2026, confirming satisfactory healing progress with continued physical\ntherapy recommended for four additional weeks.\nItemized Charges\nDate\nService Description\nAmount (USD)\n25-Aug-2026\nEmergency Room Visit\n$1,850.00\n25-Aug-2026\nX-Ray Imaging (Cervical Spine & Wrist)\n$620.00\n26-Aug-2026\nOrthopedic Consultation\n$450.00\n28-Aug-2026\nPhysical Therapy Session 1\n$180.00\n30-Aug-2026\nPhysical Therapy Session 2\n$180.00\n01-Sep-2026\nPhysical Therapy Session 3\n$180.00\n02-Sep-2026\nFollow-up Orthopedic Consultation\n$400.00\n03-Sep-2026\nPrescription Medication (Pain Management)\n$95.00\nTOTAL\n$3,955.00\nInsurance & Billing Notes']","In the Insurance document for client engmail test, the charge for the Emergency Room Visit was $1,850.00. 

(Source: Usama_Medical_Bill.pdf)","$1,850.00",,0.9999999999,0.0,1.0
"For client engmail test, according to the Insurance document, how much did the X-Ray Imaging of the Cervical Spine and Wrist cost?","['prescribed pain management medication. Follow-up consultation with an orthopedic specialist was\nconducted on 02-September-2026, confirming satisfactory healing progress with continued physical\ntherapy recommended for four additional weeks.\nItemized Charges\nDate\nService Description\nAmount (USD)\n25-Aug-2026\nEmergency Room Visit\n$1,850.00\n25-Aug-2026\nX-Ray Imaging (Cervical Spine & Wrist)\n$620.00\n26-Aug-2026\nOrthopedic Consultation\n$450.00\n28-Aug-2026\nPhysical Therapy Session 1\n$180.00\n30-Aug-2026\nPhysical Therapy Session 2\n$180.00\n01-Sep-2026\nPhysical Therapy Session 3\n$180.00\n02-Sep-2026\nFollow-up Orthopedic Consultation\n$400.00\n03-Sep-2026\nPrescription Medication (Pain Management)\n$95.00\nTOTAL\n$3,955.00\nInsurance & Billing Notes']","For client engmail test, according to the Insurance document, the X-Ray Imaging of the Cervical Spine and Wrist cost $620.00. 

(Source: Usama_Medical_Bill.pdf)",$620.00,,0.9999999999,1.0,1.0
"In the Insurance document for client engmail test, how many Physical Therapy sessions were billed, and what was the cost per session?","['prescribed pain management medication. Follow-up consultation with an orthopedic specialist was\nconducted on 02-September-2026, confirming satisfactory healing progress with continued physical\ntherapy recommended for four additional weeks.\nItemized Charges\nDate\nService Description\nAmount (USD)\n25-Aug-2026\nEmergency Room Visit\n$1,850.00\n25-Aug-2026\nX-Ray Imaging (Cervical Spine & Wrist)\n$620.00\n26-Aug-2026\nOrthopedic Consultation\n$450.00\n28-Aug-2026\nPhysical Therapy Session 1\n$180.00\n30-Aug-2026\nPhysical Therapy Session 2\n$180.00\n01-Sep-2026\nPhysical Therapy Session 3\n$180.00\n02-Sep-2026\nFollow-up Orthopedic Consultation\n$400.00\n03-Sep-2026\nPrescription Medication (Pain Management)\n$95.00\nTOTAL\n$3,955.00\nInsurance & Billing Notes']","In the Insurance document for client engmail test, three Physical Therapy sessions were billed, and the cost per session was $180.00. 

(Source: Usama_Medical_Bill.pdf)","Three sessions were billed, each costing $180.00",,0.9999999999,0.5,1.0
